country,year,gdp_growth,gdp_growth_change,inflation_change,unemployment_change
Brazil,2005,3.202132062,NULL,NULL,NULL
Brazil,2006,3.961988709,0.759856647,NULL,NULL
Brazil,2007,6.069870607,2.107881898,-2.68596908,-0.859
Brazil,2008,5.094195448,-0.975675159,-0.542295138,-0.412
Brazil,2009,-0.125812003,-5.220007451,2.037320912,-1.012
Brazil,2010,7.528225818,7.654037821,-0.790559104,1.151
Brazil,2011,3.974423079,-3.553802739,0.150692102,-0.999
Brazil,2012,1.921175985,-2.053247094,1.597722721,-0.842
Brazil,2013,3.00482267,1.083646685,-1.232950482,-0.327
Brazil,2014,0.50395574,-2.50086693,0.800811526,-0.18
Brazil,2015,-3.545763393,-4.049719133,0.124729489,-0.316
Brazil,2016,-3.275916906,0.269846487,2.700860869,1.783
Brazil,2017,1.322869054,4.59878596,-0.290757501,3.042
Brazil,2018,1.783666761,0.460797707,-5.292770173,1.212
Brazil,2019,1.220777823,-0.562888938,0.218476934,-0.463
Brazil,2020,-3.276758796,-4.497536619,0.068125928,-0.393
Brazil,2021,4.76260438,8.039363176,-0.521208174,1.761
Brazil,2022,3.016694354,-1.745910026,5.089891718,-0.539
Brazil,2023,3.241655328,0.224960974,0.978446334,-3.927
India,2005,7.923430621,NULL,NULL,NULL
India,2006,8.060732572,0.137301951,NULL,NULL
India,2007,7.660815067,-0.399917505,1.550179756,0.002
India,2008,3.086698059,-4.574117008,0.57635798,0.009
India,2009,7.861888833,4.775190774,1.976385693,0.067
India,2010,8.497584702,0.635695869,2.533085891,0.007
India,2011,5.241316199,-3.256268503,1.10703698,-0.005
India,2012,5.456387552,0.215071353,-3.077596555,-0.022
India,2013,6.386106401,0.929718849,0.567203549,0.036
India,2014,7.410227605,1.024121204,0.538881556,0.033
India,2015,7.996253786,0.586026181,-3.352221751,-0.022
India,2016,8.256305502,0.260051716,-1.758683278,-0.027
India,2017,6.795383419,-1.460922083,0.0412429,-0.018
India,2018,6.453851345,-0.341532074,-1.620042966,0.015
India,2019,3.871436941,-2.582414404,0.610653092,0.026
India,2020,-5.777724707,-9.649161648,-0.209320732,-1.142
India,2021,9.689592492,15.4673172,2.893931041,1.349
India,2022,7.609364978,-2.080227514,-1.492029304,-1.479
India,2023,9.19075493,1.581389952,1.567626669,-1.558
Kenya,2005,5.90666608,NULL,NULL,NULL
Kenya,2006,6.4724943,0.56582822,NULL,NULL
Kenya,2007,6.85072977,0.37823547,4.14095585,-0.066
Kenya,2008,0.232282745,-6.618447025,-4.69485398,-0.031
Kenya,2009,3.306939816,3.074657071,16.48093641,0.109
Kenya,2010,8.058473603,4.751533787,-17.00569072,0.065
Kenya,2011,5.12110612,-2.937367483,-5.272737033,-0.023
Kenya,2012,4.568679614,-0.552426506,10.06110241,-0.094
Kenya,2013,3.797848393,-0.770831221,-4.644721265,-0.021
Kenya,2014,5.020111002,1.222262609,-3.660276465,0.084
Kenya,2015,4.967721128,-0.052389874,1.160661423,0.005
Kenya,2016,4.213517068,-0.75420406,-0.2960007,-0.005
Kenya,2017,3.837958174,-0.375558894,-0.284904755,-0.005
Kenya,2018,5.647946407,1.809988233,1.708400139,0.785
Kenya,2019,5.114158858,-0.533787549,-3.315843209,0.742
Kenya,2020,-0.272766327,-5.386925185,0.54983149,0.73
Kenya,2021,7.590489473,7.8632558,0.165524121,0.599
Kenya,2022,4.859981043,-2.73050843,0.702773958,0.08
Kenya,2023,5.719992412,0.860011369,1.551926646,-0.128
Nigeria,2005,6.438516525,NULL,NULL,NULL
Nigeria,2006,6.059428032,-0.379088493,NULL,NULL
Nigeria,2007,6.591130361,0.531702329,-9.63827185,0.022
Nigeria,2008,6.764472778,0.173342417,-2.837213551,0.045
Nigeria,2009,8.036925101,1.272452323,6.193067201,-0.002
Nigeria,2010,8.005655916,-0.031269185,0.95675256,-0.029
Nigeria,2011,5.307924203,-2.697731713,1.20222441,-0.019
Nigeria,2012,4.230061175,-1.077863028,-2.91391495,0.026
Nigeria,2013,6.671335393,2.441274218,1.39810411,-0.009
Nigeria,2014,6.309718655,-0.361616738,-3.728722917,-0.05
Nigeria,2015,2.652693295,-3.65702536,-0.448107503,0.189
Nigeria,2016,-1.616868949,-4.269562244,0.9620241,0.234
Nigeria,2017,0.805886619,2.422755568,6.68737766,0.365
Nigeria,2018,1.922757342,1.116870723,0.80545357,0.331
Nigeria,2019,2.208429277,0.285671935,-4.40715969,0.239
Nigeria,2020,-6.368898405,-8.577327682,-0.69868418,0.137
Nigeria,2021,1.109252539,7.478150944,1.84960109,0.508
Nigeria,2022,4.318829495,3.209576956,3.70682229,-0.31
Nigeria,2023,3.326845564,-0.991983931,1.89434206,-1.577
South Africa,2005,5.277051973,NULL,NULL,NULL
South Africa,2006,5.603806459,0.326754486,NULL,NULL
South Africa,2007,5.360474054,-0.243332405,1.181054572,-0.168
South Africa,2008,3.191043886,-2.169430168,2.933904494,-0.044
South Africa,2009,-1.538089135,-4.729133021,3.732172412,0.147
South Africa,2010,3.039732881,4.577822016,-2.671889322,1.116
South Africa,2011,3.168556279,0.128823398,-3.170599678,1.16
South Africa,2012,2.396232385,-0.772323894,0.933357828,-0.044
South Africa,2013,2.485468008,0.089235623,0.737118003,0.088
South Africa,2014,1.413826452,-1.071641556,0.04219771,-0.166
South Africa,2015,1.321862237,-0.091964215,0.35266043,0.329
South Africa,2016,0.664552308,-0.657309929,-1.614138582,0.259
South Africa,2017,1.157946952,0.493394644,2.084217475,1.387
South Africa,2018,1.556783847,0.398836895,-1.416721869,0.499
South Africa,2019,0.259935577,-1.29684827,-0.676313906,-0.129
South Africa,2020,-6.168917715,-6.428853292,-0.407021894,1.562
South Africa,2021,4.858648651,11.02756637,-0.870462439,0.749
South Africa,2022,2.058136617,-2.800512034,1.386357133,4.79
South Africa,2023,0.806104551,-1.252032066,2.421127276,-0.739
